Orane Lebel, Avenue Huart Hamoir,86,9255,Buggenhout,0498 90 20 54,30/5/1955,OraneLebel@armyspy.com,Ropened,OoR2ieng,
Trinette Brousseau, Rue de Piétrain,258,6851,Nollevaux,0497 89 27 21,26/8/1990,TrinetteBrousseau@rhyta.com,Twithering90,Bie8aiWu8oh,
Ancelina Marcil, Industrieweg,68,5500,Bouvignes-sur-Meuse,0482 22 09 12,1/7/1974,AncelinaMarcil@dayrep.com,Froce1974,Shaj4liwe5,
Fantina Courcelle, Avenue des Sartiaux,267,3370,Willebringen,0484 94 15 84,14/10/1996,FantinaCourcelle@teleworm.us,Laiden,xaisheY5,
Ancelote de Chateaub, Bessenveldstraat,351,5580,Mont-Gauthier,0488 74 50 97,24/5/2000,AncelotedeChateaub@armyspy.com,Thromen,shohGh8A,
Luce Courcelle, Putstraat,400,1541,Sint-Pieters-Kapelle,0487 33 46 30,11/1/1994,LuceCourcelle@armyspy.com,Uniont,aimaT3doh8qu,
Oriel Abril, Rue des Tanneurs,297,5600,Philippeville,0475 16 54 45,17/2/1973,OrielAbril@jourrapide.com,Examed,eeGai7Cu,
Eloise Boisclair, Rue de Virton,393,5060,Falisolle,0470 73 40 92,11/1/1954,EloiseBoisclair@rhyta.com,Begadd,Zalies8ahf1x,
Belle Cartier, Rue du Bienne,52,3350,Orsmaal-Gussenhoven,0487 39 28 27,4/6/2003,BelleCartier@teleworm.us,Tiournind,uj5Soocoo,
Mathilde Patry, Strepestraat,406,5550,Laforêt,0470 28 77 73,7/12/1986,MathildePatry@teleworm.us,Tere1986,Thooj3cie,
Eloise Bonsaint, Mandemakersstraat,65,2235,Westmeerbeek,0498 95 25 42,27/10/1985,EloiseBonsaint@teleworm.us,Seuld1985,ieyaK5Ch,
Alacoque Lafrenière, Rue du Commerce,497,8640,Woesten,0470 23 28 16,5/3/1991,AlacoqueLafreniere@rhyta.com,Lour1991,Seehah7ob,
Yolande Fongemie, Lange Elzenstraat,114,5660,Brûly,0498 53 08 60,4/6/1962,YolandeFongemie@teleworm.us,Liker1962,AiZeibie3zoh,
Vignette Aupry, Kerkstraat,95,3740,Beverst,0475 13 01 94,26/6/1994,VignetteAupry@armyspy.com,Hallory,ahGh8cei,
Catherine Chartier, Rue de Virton,493,6740,Etalle,0471 40 53 45,14/3/1950,CatherineChartier@jourrapide.com,Muccalto,chaiTien7ie,
